medMz	medRt	compound	category	rt_diff	parent	mh_ctrl1	mh_ctrl2	mh_ctrl3	mh_eco1	mh_eco2	mh_eco3	mh_kpn1	mh_kpn2	mh_kpn3	mh_spn1	mh_spn2	mh_spn3
179.0556	5.367512	D-TAGATOSE	B-1.5min	-1.047512	179.0556	0	0	0	0	-381729.9	-313948.44200000004	-4680850.925	-322148.6	-303843.5437	0	0	0
179.0556	5.367512	ALPHA-D-GLUCOSE	B-2min	0.2524881	179.0556	0	0	0	0	-381729.9	-313948.44200000004	-4680850.925	-322148.6	-303843.5437	0	0	0
179.0556	5.367512	D-TAGATOSE	B-1.5min	0.2624884	179.0556	0	0	0	0	-381729.9	-313948.44200000004	-4680850.925	-322148.6	-303843.5437	0	0	0
179.0556	5.367512	ALLOSE	B1.5min	-0.5675116	179.0556	0	0	0	0	-381729.9	-313948.44200000004	-4680850.925	-322148.6	-303843.5437	0	0	0
179.0556	5.367512	D-PSICOSE	B-1min	-1.667512	179.0556	0	0	0	0	-381729.9	-313948.44200000004	-4680850.925	-322148.6	-303843.5437	0	0	0
179.0556	5.367512	ALLOSE	B1.5min	-1.557512	179.0556	0	0	0	0	-381729.9	-313948.44200000004	-4680850.925	-322148.6	-303843.5437	0	0	0
179.0556	5.367512	MANNOSE	T	-0.3175116	179.0556	0	0	0	0	-381729.9	-313948.44200000004	-4680850.925	-322148.6	-303843.5437	0	0	0
179.0556	5.367512	D-GALACTOSE	B-2min	-0.4775119	179.0556	0	0	0	0	-381729.9	-313948.44200000004	-4680850.925	-322148.6	-303843.5437	0	0	0
179.0556	5.367512	D-FRUCTOSE	T	-0.1875119	179.0556	0	0	0	0	-381729.9	-313948.44200000004	-4680850.925	-322148.6	-303843.5437	0	0	0
179.0556	5.367512	D-GALACTOSE	B-2min	0.3124881	179.0556	0	0	0	0	-381729.9	-313948.44200000004	-4680850.925	-322148.6	-303843.5437	0	0	0
179.0556	5.367512	D-TAGATOSE	B-1.5min	-0.1775117	179.0556	0	0	0	0	-381729.9	-313948.44200000004	-4680850.925	-322148.6	-303843.5437	0	0	0
179.0556	5.367512	D-FRUCTOSE	T	-0.9175119	179.0556	0	0	0	0	-381729.9	-313948.44200000004	-4680850.925	-322148.6	-303843.5437	0	0	0
179.0556	5.367512	MYO-INOSITOL	T	1.452488	179.0556	0	0	0	0	-381729.9	-313948.44200000004	-4680850.925	-322148.6	-303843.5437	0	0	0
149.045	5.373306	ARABINOSE	B-1.5min	-1.483306	149.045	0	7800.0470000000005	0	0	-1284.334	-3210.58	-78086.17	-2511.313	-3214.693	0	0	0
149.045	5.373306	D-LYXOSE	B-1min	-1.963306	149.045	0	7800.0470000000005	0	0	-1284.334	-3210.58	-78086.17	-2511.313	-3214.693	0	0	0
149.045	5.373306	D-[-]-ARABINOSE	B-1.5min	-1.473306	149.045	0	7800.0470000000005	0	0	-1284.334	-3210.58	-78086.17	-2511.313	-3214.693	0	0	0
149.045	5.373306	D-XYLOSE	B-1.5min	-1.943306	149.045	0	7800.0470000000005	0	0	-1284.334	-3210.58	-78086.17	-2511.313	-3214.693	0	0	0
161.045	5.396386	3-HYDROXY-3-METHYLGLUTARATE	B-1min	-1.506386	161.045	0	0	0	-464579.4	-47297.468	-54044.710999999996	-563606.4430000001	-48510.897	-46110.798	0	0	0
173.0085	5.60219	TRANS-ACONITATE	T	0.2278094	173.0085	0	0	0	125663.4	0	0	0	0	328776.10000000003	316472.19999999995	363036.10000000003	449280.1
173.0085	5.60219	TRANS-ACONITATE	T	0.9578094	173.0085	0	0	0	125663.4	0	0	0	0	328776.10000000003	316472.19999999995	363036.10000000003	449280.1
173.0085	5.60219	DEHYDRO-L-[+]-ASCORBIC ACID DIMER	B-2min	-1.32219	173.0085	0	0	0	125663.4	0	0	0	0	328776.10000000003	316472.19999999995	363036.10000000003	449280.1
173.0085	5.60219	DEHYDROASCORBATE	B-2.5min	-1.34219	173.0085	0	0	0	125663.4	0	0	0	0	328776.10000000003	316472.19999999995	363036.10000000003	449280.1
85.02922	5.606816	DIACETYL	T	0.2231841	85.02922	0	0	0	0	0	0	0	10039.886	32175.173	42106.979999999996	40356.75	36734.15
85.02922	5.606816	DIACETYL	T	-0.6268158	85.02922	0	0	0	0	0	0	0	10039.886	32175.173	42106.979999999996	40356.75	36734.15
129.0189	5.608685	2-METHYLMALEATE	T	-0.6186852	129.0189	0	0	0	0	50626.44	0	0	35839.78	104847.28	94883.76	104735.39000000001	132241.87
174.0402	5.674009	N-ACETYL-L-ASPARTIC ACID	T	0.07599068	174.0402	0	0	0	288393.06999999995	256721.59000000003	225322.36	0	170352.77	313199.66000000003	0	0	19281.600000000002
167.0205	5.709793	URATE	T	0.1202073	167.0205	0.0	-1796.83	-1640.757	1361.946	21018.34	1259.162	1115.337	48845.425	-1216.887	0	0	0
150.0416	5.915004	GUANINE	T	0.02499628	150.0416	7387.802	-9994.07	0	-1030202.3	-210730.1	-184581.8	0	-115863.6	-82805.21	0	0	0
282.0836	6.298396	GUANOSINE	T	0.06160402	282.0836	2437.979	3358.409	0	-105326.8	0.0	0.0	-9029.831	-1104.73	0.0	-1234.486	0.0	0.0
87.00844	6.738606	PYRUVATE	B-1.5min	-0.6286058	87.00844	6215.030999999999	0	0	1049604.1	-14664.699999999999	-28612.11	0	-36610.774000000005	0	0	0	0
283.0693	6.907672	XANTHOSINE	T	-1.617672	283.0693	0	0	0	-16615.09	0	0	0	0	0	0	0	33845.91
116.0713	7.390235	L-VALINE	T	-0.1502352	116.0713	0	0	0	37110.270000000004	0	0	0	0	46507.2	35335.14	0	0
116.0713	7.390235	L-NORVALINE	T	-0.3002348	116.0713	0	0	0	37110.270000000004	0	0	0	0	46507.2	35335.14	0	0
341.1078	7.542054	MALTOSE	T	0.4479456	341.1078	0	0	0	0	-52092.61	-72517.55	0	-60986.05	0	0	0	0
341.1078	7.542054	D-[+]-CELLOBIOSE	T	0.4479456	341.1078	0	0	0	0	-52092.61	-72517.55	0	-60986.05	0	0	0	0
341.1078	7.542054	D-LACTOSE	T	0.317946	341.1078	0	0	0	0	-52092.61	-72517.55	0	-60986.05	0	0	0	0
