label,metaGroupId,groupId,goodPeakCount,medMz,medRt,maxQuality,note,compound,compoundId,expectedRtDiff,ppmDiff,parent,170610_2017_06_09TR_HILICNeg15_MH_CTRL3_T0,170610_2017_06_09TR_HILICNeg15_MH_CTRL2_T0,170610_2017_06_09TR_HILICNeg15_MH_CTRL1_T0,170610_2017_06_09TR_HILICNeg15_MH_CTRL3_T4,170610_2017_06_09TR_HILICNeg15_MH_CTRL2_T4,170610_2017_06_09TR_HILICNeg15_MH_CTRL1_T4,170610_2017_06_09TR_HILICNeg15_MH_SPN3_T0,170610_2017_06_09TR_HILICNeg15_MH_SPN2_T0,170610_2017_06_09TR_HILICNeg15_MH_SPN1_T0,170610_2017_06_09TR_HILICNeg15_MH_SPN3_T4,170610_2017_06_09TR_HILICNeg15_MH_SPN2_T4,170610_2017_06_09TR_HILICNeg15_MH_SPN1_T4,170610_2017_06_09TR_HILICNeg15_MH_ECO1_T0,170610_2017_06_09TR_HILICNeg15_MH_ECO2_T0,170610_2017_06_09TR_HILICNeg15_MH_ECO3_T0,170610_2017_06_09TR_HILICNeg15_MH_ECO1_T4,170610_2017_06_09TR_HILICNeg15_MH_ECO2_T4,170610_2017_06_09TR_HILICNeg15_MH_ECO3_T4,170610_2017_06_09TR_HILICNeg15_MH_KPN3_T0,170610_2017_06_09TR_HILICNeg15_MH_KPN2_T0,170610_2017_06_09TR_HILICNeg15_MH_KPN1_T0,170610_2017_06_09TR_HILICNeg15_MH_KPN3_T4,170610_2017_06_09TR_HILICNeg15_MH_KPN2_T4,170610_2017_06_09TR_HILICNeg15_MH_KPN1_T4
,,,,,,,,,,,,,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
,0,1,21,104.035,8.211243,0.8511392,C12 PARENT,L-SERINE,L-SERINE,-1,9592.507,104.035,6376418,6803372,6612856,6561764,6662346,6581018,5627990,5171166,5617050,5919668,5640040,6211282,3520430,5747200,5487174,70057.48,7749.225,120215.5,5688990,5756104,4769438,2714.175,2949.437,16844.46
,0,2,9,137.0351,4.513076,0.8530627,C12 PARENT,UROCANATE,UROCANATE,-1,7300.829,137.0351,1371.59,1825.036,4210.472,1546.785,4860.281,2362.674,1319.664,2018.758,1689.248,2840.626,4827.149,3783.241,13411.1,3559.654,3252.947,28831.12,3628.655,2250.367,352968.3,73504.84,64073.26,1108323,564209.2,89291.15
,0,3,8,167.0205,5.709793,0.849377,C12 PARENT,URATE,URATE,-1,5998.054,167.0205,1640.757,1796.83,0,0,0,0,2256216,2301597,2262974,3836876,4054224,4046695,0,0,0,1361.946,21018.34,1259.162,1216.887,1295.145,0,0,50140.57,1115.337
,0,4,24,117.0189,2.114483,0.841365,C12 PARENT,SUCCINATE,SUCCINATE,-1,8537.63,117.019,3229301,2858091,3045409,2963049,3025518,2934910,4065933,4104668,4093011,4456546,4208874,4468101,2.915369e+007,2.581535e+007,2.74526e+007,9.326989e+007,2.489932e+008,2.537352e+008,4775922,1.037001e+007,1.695068e+007,1.922471e+008,2.469084e+008,3.618061e+007
,0,5,6,124.0069,7.077608,0.8520425,C12 PARENT,TAURINE,TAURINE,-1,8061.249,124.0069,5058.724,6251.988,9302.723,4261.925,4168.362,12566.01,189077.1,189048.5,169040.6,231156.2,250431.5,241074.6,0,4520.261,0,0,10668.01,9043.083,0,5410.797,6210.295,3712.008,0,0
,0,6,24,173.1038,8.597587,0.8436525,C12 PARENT,L-ARGININE,L-ARGININE,-1,5788.924,173.1038,5979126,5960890,5373633,6210534,6251420,5951410,4674036,4699947,5017586,4790320,5489588,5282972,4680366,5217474,5473314,4359514,5114218,5482508,5931898,5065100,4974896,5293374,5228394,5007252
,0,7,24,73.02922,2.114943,0.8293783,C12 PARENT,PROPANOATE,PROPANOATE,-1,13608.92,73.02923,114204.7,103377.1,90642.81,113114.7,103071.3,95385.85,168602.8,175666.8,162083.2,180545.4,165203.5,175665.5,1312864,1164326,1253004,4418926,1.199228e+007,1.250862e+007,195198.3,451794.3,746803.8,9259799,1.19022e+007,1769355
